Time	Group
12.87	Ozon_Old
12.28	Ozon_Old
11.95	Ozon_Old
11.75	Ozon_Old
11.27	Ozon_Old
9.33	Ozon_Old
9.25	Ozon_Old
8.87	Ozon_Old
8.43	Ozon_Old
8.17	Ozon_Old
7.67	Ozon_Old
7.63	Ozon_Old
7.63	Ozon_Old
7.55	Ozon_Old
7.5	Ozon_Old
7.48	Ozon_Old
7.37	Ozon_Old
7.3	Ozon_Old
7.25	Ozon_Old
7.18	Ozon_Old
7.17	Ozon_Old
7.08	Ozon_Old
7.08	Ozon_Old
6.95	Ozon_Old
6.93	Ozon_Old
6.9	Ozon_Old
6.9	Ozon_Old
6.88	Ozon_Old
6.85	Ozon_Old
6.85	Ozon_Old
6.83	Ozon_Old
6.83	Ozon_Old
6.7	Ozon_Old
6.68	Ozon_Old
6.63	Ozon_Old
6.63	Ozon_Old
6.63	Ozon_Old
6.55	Ozon_Old
6.52	Ozon_Old
6.52	Ozon_Old
6.5	Ozon_Old
6.47	Ozon_Old
6.47	Ozon_Old
6.4	Ozon_Old
6.35	Ozon_Old
6.33	Ozon_Old
6.27	Ozon_Old
6.27	Ozon_Old
6.27	Ozon_Old
6.23	Ozon_Old
6.22	Ozon_Old
6.15	Ozon_Old
6.15	Ozon_Old
6.12	Ozon_Old
6.1	Ozon_Old
6.08	Ozon_Old
6.07	Ozon_Old
6.07	Ozon_Old
6.03	Ozon_Old
6.02	Ozon_Old
6.0	Ozon_Old
6.0	Ozon_Old
5.98	Ozon_Old
5.97	Ozon_Old
5.95	Ozon_Old
5.92	Ozon_Old
5.92	Ozon_Old
5.88	Ozon_Old
5.87	Ozon_Old
5.83	Ozon_Old
5.78	Ozon_Old
5.78	Ozon_Old
5.73	Ozon_Old
5.73	Ozon_Old
5.73	Ozon_Old
5.72	Ozon_Old
5.72	Ozon_Old
5.7	Ozon_Old
5.68	Ozon_Old
5.67	Ozon_Old
5.67	Ozon_Old
5.65	Ozon_Old
5.65	Ozon_Old
5.65	Ozon_Old
5.63	Ozon_Old
5.62	Ozon_Old
5.6	Ozon_Old
5.6	Ozon_Old
5.58	Ozon_Old
5.57	Ozon_Old
5.55	Ozon_Old
5.53	Ozon_Old
5.53	Ozon_Old
5.52	Ozon_Old
5.5	Ozon_Old
5.5	Ozon_Old
5.43	Ozon_Old
5.43	Ozon_Old
5.43	Ozon_Old
5.42	Ozon_Old
5.37	Ozon_Old
5.37	Ozon_Old
5.33	Ozon_Old
5.32	Ozon_Old
5.3	Ozon_Old
5.23	Ozon_Old
5.23	Ozon_Old
5.2	Ozon_Old
5.2	Ozon_Old
5.18	Ozon_Old
5.18	Ozon_Old
5.17	Ozon_Old
5.15	Ozon_Old
5.12	Ozon_Old
5.07	Ozon_Old
5.05	Ozon_Old
5.05	Ozon_Old
5.05	Ozon_Old
5.03	Ozon_Old
5.0	Ozon_Old
5.0	Ozon_Old
4.98	Ozon_Old
4.97	Ozon_Old
4.97	Ozon_Old
4.95	Ozon_Old
4.93	Ozon_Old
4.93	Ozon_Old
4.93	Ozon_Old
4.92	Ozon_Old
4.92	Ozon_Old
4.92	Ozon_Old
4.9	Ozon_Old
4.88	Ozon_Old
4.87	Ozon_Old
4.85	Ozon_Old
4.82	Ozon_Old
4.8	Ozon_Old
4.8	Ozon_Old
4.77	Ozon_Old
4.77	Ozon_Old
4.75	Ozon_Old
4.72	Ozon_Old
4.7	Ozon_Old
4.7	Ozon_Old
4.7	Ozon_Old
4.67	Ozon_Old
4.65	Ozon_Old
4.63	Ozon_Old
4.62	Ozon_Old
4.6	Ozon_Old
4.6	Ozon_Old
4.6	Ozon_Old
4.6	Ozon_Old
4.58	Ozon_Old
4.58	Ozon_Old
4.58	Ozon_Old
4.58	Ozon_Old
4.57	Ozon_Old
4.57	Ozon_Old
4.55	Ozon_Old
4.53	Ozon_Old
4.5	Ozon_Old
4.47	Ozon_Old
4.47	Ozon_Old
4.47	Ozon_Old
4.45	Ozon_Old
4.45	Ozon_Old
4.43	Ozon_Old
4.43	Ozon_Old
4.43	Ozon_Old
4.43	Ozon_Old
4.43	Ozon_Old
4.42	Ozon_Old
4.42	Ozon_Old
4.4	Ozon_Old
4.38	Ozon_Old
4.38	Ozon_Old
4.38	Ozon_Old
4.38	Ozon_Old
4.37	Ozon_Old
4.37	Ozon_Old
4.35	Ozon_Old
4.33	Ozon_Old
4.33	Ozon_Old
4.33	Ozon_Old
4.33	Ozon_Old
4.32	Ozon_Old
4.32	Ozon_Old
4.32	Ozon_Old
4.28	Ozon_Old
4.28	Ozon_Old
4.28	Ozon_Old
4.28	Ozon_Old
4.27	Ozon_Old
4.27	Ozon_Old
4.23	Ozon_Old
4.22	Ozon_Old
4.22	Ozon_Old
4.2	Ozon_Old
4.2	Ozon_Old
4.2	Ozon_Old
4.18	Ozon_Old
4.18	Ozon_Old
4.18	Ozon_Old
4.17	Ozon_Old
4.17	Ozon_Old
4.17	Ozon_Old
4.15	Ozon_Old
4.13	Ozon_Old
4.13	Ozon_Old
4.13	Ozon_Old
4.12	Ozon_Old
4.12	Ozon_Old
4.12	Ozon_Old
4.12	Ozon_Old
4.12	Ozon_Old
4.1	Ozon_Old
4.1	Ozon_Old
4.1	Ozon_Old
4.08	Ozon_Old
4.08	Ozon_Old
4.08	Ozon_Old
4.07	Ozon_Old
4.07	Ozon_Old
4.05	Ozon_Old
4.03	Ozon_Old
4.03	Ozon_Old
3.98	Ozon_Old
3.98	Ozon_Old
3.98	Ozon_Old
3.95	Ozon_Old
3.95	Ozon_Old
3.95	Ozon_Old
3.95	Ozon_Old
3.95	Ozon_Old
3.93	Ozon_Old
3.93	Ozon_Old
3.93	Ozon_Old
3.93	Ozon_Old
3.92	Ozon_Old
3.92	Ozon_Old
3.92	Ozon_Old
3.87	Ozon_Old
3.87	Ozon_Old
3.87	Ozon_Old
3.87	Ozon_Old
3.85	Ozon_Old
3.85	Ozon_Old
3.85	Ozon_Old
3.83	Ozon_Old
3.8	Ozon_Old
3.78	Ozon_Old
3.78	Ozon_Old
3.78	Ozon_Old
3.78	Ozon_Old
3.78	Ozon_Old
3.77	Ozon_Old
3.73	Ozon_Old
3.73	Ozon_Old
3.72	Ozon_Old
3.72	Ozon_Old
3.72	Ozon_Old
3.7	Ozon_Old
3.68	Ozon_Old
3.68	Ozon_Old
3.67	Ozon_Old
3.65	Ozon_Old
3.65	Ozon_Old
3.65	Ozon_Old
3.65	Ozon_Old
3.65	Ozon_Old
3.63	Ozon_Old
3.62	Ozon_Old
3.62	Ozon_Old
3.6	Ozon_Old
3.6	Ozon_Old
3.6	Ozon_Old
3.58	Ozon_Old
3.53	Ozon_Old
3.53	Ozon_Old
3.52	Ozon_Old
3.5	Ozon_Old
3.5	Ozon_Old
3.5	Ozon_Old
3.5	Ozon_Old
3.48	Ozon_Old
3.48	Ozon_Old
3.47	Ozon_Old
3.43	Ozon_Old
3.43	Ozon_Old
3.42	Ozon_Old
3.42	Ozon_Old
3.4	Ozon_Old
3.4	Ozon_Old
3.35	Ozon_Old
3.35	Ozon_Old
3.35	Ozon_Old
3.33	Ozon_Old
3.33	Ozon_Old
3.33	Ozon_Old
3.32	Ozon_Old
3.32	Ozon_Old
3.3	Ozon_Old
3.27	Ozon_Old
3.25	Ozon_Old
3.23	Ozon_Old
3.22	Ozon_Old
3.22	Ozon_Old
3.22	Ozon_Old
3.22	Ozon_Old
3.18	Ozon_Old
3.18	Ozon_Old
3.17	Ozon_Old
3.17	Ozon_Old
3.15	Ozon_Old
3.13	Ozon_Old
3.13	Ozon_Old
3.12	Ozon_Old
3.12	Ozon_Old
3.12	Ozon_Old
3.12	Ozon_Old
3.12	Ozon_Old
3.1	Ozon_Old
3.1	Ozon_Old
3.08	Ozon_Old
3.08	Ozon_Old
3.07	Ozon_Old
3.07	Ozon_Old
3.05	Ozon_Old
3.02	Ozon_Old
3.02	Ozon_Old
3.02	Ozon_Old
3.0	Ozon_Old
2.98	Ozon_Old
2.98	Ozon_Old
2.95	Ozon_Old
2.95	Ozon_Old
2.95	Ozon_Old
2.95	Ozon_Old
2.95	Ozon_Old
2.93	Ozon_Old
2.9	Ozon_Old
2.9	Ozon_Old
2.88	Ozon_Old
2.88	Ozon_Old
2.87	Ozon_Old
2.65	Ozon_Old
2.62	Ozon_Old
2.62	Ozon_Old
2.62	Ozon_Old
2.62	Ozon_Old
2.6	Ozon_Old
0.0	Ozon_Old
7.45	Ozon_Old
6.8	Ozon_Old
6.53	Ozon_Old
6.4	Ozon_Old
6.37	Ozon_Old
6.37	Ozon_Old
6.28	Ozon_Old
5.97	Ozon_Old
5.82	Ozon_Old
5.78	Ozon_Old
5.72	Ozon_Old
5.48	Ozon_Old
5.38	Ozon_Old
5.17	Ozon_Old
5.0	Ozon_Old
4.55	Ozon_Old
2.58	Ozon_Old
2.57	Ozon_Old
2.55	Ozon_Old
2.55	Ozon_Old
2.53	Ozon_Old
2.52	Ozon_Old
2.5	Ozon_Old
2.48	Ozon_Old
2.48	Ozon_Old
2.48	Ozon_Old
2.47	Ozon_Old
2.47	Ozon_Old
2.45	Ozon_Old
2.43	Ozon_Old
2.4	Ozon_Old
2.4	Ozon_Old
2.4	Ozon_Old
2.4	Ozon_Old
2.4	Ozon_Old
2.4	Ozon_Old
2.38	Ozon_Old
2.37	Ozon_Old
2.37	Ozon_Old
2.37	Ozon_Old
2.37	Ozon_Old
2.35	Ozon_Old
2.35	Ozon_Old
2.33	Ozon_Old
2.33	Ozon_Old
2.32	Ozon_Old
2.32	Ozon_Old
2.32	Ozon_Old
2.3	Ozon_Old
2.28	Ozon_Old
2.28	Ozon_Old
2.28	Ozon_Old
2.27	Ozon_Old
2.25	Ozon_Old
2.25	Ozon_Old
2.25	Ozon_Old
2.25	Ozon_Old
2.25	Ozon_Old
2.22	Ozon_Old
2.22	Ozon_Old
2.22	Ozon_Old
2.2	Ozon_Old
2.2	Ozon_Old
2.2	Ozon_Old
2.18	Ozon_Old
2.17	Ozon_Old
2.17	Ozon_Old
2.15	Ozon_Old
2.15	Ozon_Old
2.13	Ozon_Old
2.13	Ozon_Old
2.12	Ozon_Old
2.08	Ozon_Old
2.08	Ozon_Old
2.02	Ozon_Old
2.02	Ozon_Old
2.02	Ozon_Old
2.0	Ozon_Old
2.0	Ozon_Old
2.0	Ozon_Old
1.98	Ozon_Old
1.98	Ozon_Old
1.98	Ozon_Old
1.98	Ozon_Old
1.98	Ozon_Old
1.98	Ozon_Old
1.98	Ozon_Old
1.97	Ozon_Old
1.97	Ozon_Old
1.95	Ozon_Old
1.93	Ozon_Old
1.93	Ozon_Old
1.93	Ozon_Old
1.93	Ozon_Old
1.92	Ozon_Old
1.9	Ozon_Old
1.9	Ozon_Old
1.77	Ozon_Old
1.75	Ozon_Old
